#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
OG0000006_x05	OG0007886_x00	425635.ENSCPGP00000026136	425635.ENSCPGP00000027929	0	0	0	0	0	0.348	0.569	0	0.706
OG0000026_x03	OG0010854_x00	425635.ENSCPGP00000016480	425635.ENSCPGP00000025152	0	0	0	0.961	0	0.136	0.730	0	0.756
OG0000026_x05	OG0010854_x00	425635.ENSCPGP00000005298	425635.ENSCPGP00000025152	0	0	0	0.959	0	0.136	0.730	0	0.756
OG0000043_x04	OG0003397_x00	425635.ENSCPGP00000006428	425635.ENSCPGP00000010798	0	0	0	0.723	0	0.598	0.448	0	0.768
OG0000058_x01	OG0002763_x00	425635.ENSCPGP00000009143	425635.ENSCPGP00000024691	0	0	0	0	0	0.597	0.431	0	0.760
OG0000071_x01	OG0000171_x00	425635.ENSCPGP00000002363	425635.ENSCPGP00000006331	0	0	0	0	0	0.136	0.682	0	0.713
OG0000088_x03	OG0007645_x00	425635.ENSCPGP00000019826	425635.ENSCPGP00000014489	0	0	0	0.893	0	0.383	0.682	0	0.795
OG0000088_x03	OG0002976_x00	425635.ENSCPGP00000019826	425635.ENSCPGP00000015309	0	0	0	0	0	0.375	0.682	0	0.792
OG0000088_x03	OG0001971_x00	425635.ENSCPGP00000019826	425635.ENSCPGP00000015785	0	0	0	0	0	0.344	0.579	0	0.712
OG0000088_x03	OG0006015_x00	425635.ENSCPGP00000019826	425635.ENSCPGP00000017945	0	0	0	0	0	0.648	0.579	0	0.845
OG0000093_x01	OG0006981_x00	425635.ENSCPGP00000000330	425635.ENSCPGP00000011559	0	0	0	0	0	0.775	0.694	0	0.928
OG0000116_x02	OG0001435_x00	425635.ENSCPGP00000003725	425635.ENSCPGP00000025831	0	0	0	0	0	0.221	0.677	0	0.737
OG0000116_x02	OG0003125_x00	425635.ENSCPGP00000003725	425635.ENSCPGP00000020826	0	0	0	0.552	0	0.591	0.609	0	0.833
OG0000148_x02	OG0007402_x00	425635.ENSCPGP00000012804	425635.ENSCPGP00000001670	0	0	0	0	0	0.692	0.139	0	0.723
OG0000164_x00	OG0003395_x00	425635.ENSCPGP00000021119	425635.ENSCPGP00000019970	0	0	0	0	0	0.138	0.692	0	0.723
OG0000171_x00	OG0004119_x00	425635.ENSCPGP00000006331	425635.ENSCPGP00000003726	0	0	0	0	0	0	0.765	0	0.765
OG0000171_x00	OG0005254_x00	425635.ENSCPGP00000006331	425635.ENSCPGP00000015543	0	0	0	0	0	0.137	0.675	0	0.707
OG0000171_x00	OG0001543_x01	425635.ENSCPGP00000006331	425635.ENSCPGP00000011536	0	0	0	0	0	0	0.779	0	0.779
OG0000171_x00	OG0007461_x00	425635.ENSCPGP00000006331	425635.ENSCPGP00000014909	0	0	0	0	0	0	0.779	0	0.779
OG0000171_x00	OG0006372_x00	425635.ENSCPGP00000006331	425635.ENSCPGP00000027129	0	0	0	0	0	0.591	0.677	0	0.862
OG0000178_x00	OG0000558_x01	425635.ENSCPGP00000023129	425635.ENSCPGP00000028120	0	0	0	0.832	0	0.591	0.462	0	0.770
OG0000185_x00	OG0002586_x00	425635.ENSCPGP00000024077	425635.ENSCPGP00000015058	0	0	0	0	0	0.251	0.677	0	0.747
OG0000287_x01	OG0006015_x00	425635.ENSCPGP00000027400	425635.ENSCPGP00000017945	0	0	0	0	0	0.581	0.344	0	0.713
